Nome da Foto ID,Cargo,Nome,Partido,Estado,Status,Assinou?
Enio_Verri_(PT-PR)_Ex-deputado.jpg,Deputado,Enio_Verri,PT,PR,Ex-deputado,Não
Eriberto_Medeiros_(PSB-PE)_Em_exercício.jpg,Deputado,Eriberto_Medeiros,PSB,PE,Em_exercício,sim
Erika_Hilton_(PSOL-SP)_Em_exercício.jpg,Deputado,Erika_Hilton,PSOL,SP,Em_exercício,sim
Erika_Kokay_(PT-DF)_Em_exercício.jpg,Deputado,Erika_Kokay,PT,DF,Em_exercício,sim
Eros_Biondini_(PL-MG)_Em_exercício.jpg,Deputado,Eros_Biondini,PL,MG,Em_exercício,Não
Euclydes_Pettersen_(REPUBLICANOS-MG)_Em_exercício.jpg,Deputado,Euclydes_Pettersen,REPUBLICANOS,MG,Em_exercício,sim
Eunício_Oliveira_(MDB-CE)_Em_exercício.jpg,Deputado,Eunício_Oliveira,MDB,CE,Em_exercício,sim
Evair_Vieira_de_Melo_(PP-ES)_Em_exercício.jpg,Deputado,Evair_Vieira_de_Melo,PP,ES,Em_exercício,Não
Fabio_Garcia_(UNIAO-MT)_Licenciado.jpg,Deputado,Fabio_Garcia,UNIAO,MT,Licenciado,Não
Fabio_Reis_(PSD-SE)_Licenciado.jpg,Deputado,Fabio_Reis,PSD,SE,Licenciado,Não
Fabio_Schiochet_(UNIAO-SC)_Em_exercício.jpg,Deputado,Fabio_Schiochet,UNIAO,SC,Em_exercício,Não
Fausto_Pinato_(PP-SP)_Em_exercício.jpg,Deputado,Fausto_Pinato,PP,SP,Em_exercício,sim
Fausto_Santos_Jr._(UNIAO-AM)_Em_exercício.jpg,Deputado,Fausto_Santos_Jr.,UNIAO,AM,#VALUE!,sim
Felipe_Becari_(UNIAO-SP)_Licenciado.jpg,Deputado,Felipe_Becari,UNIAO,SP,Licenciado,Não
Felipe_Carreras_(PSB-PE)_Em_exercício.jpg,Deputado,Felipe_Carreras,PSB,PE,Em_exercício,sim
Felipe_Francischini_(UNIAO-PR)_Em_exercício.jpg,Deputado,Felipe_Francischini,UNIAO,PR,Em_exercício,Não
Felipe_Saliba_(PRD-MG)_Suplente_que_exerceu_mandato.jpg,Deputado,Felipe_Saliba,PRD,MG,Suplente_que_exerceu_mandato,Não
Fernanda_Melchionna_(PSOL-RS)_Em_exercício.jpg,Deputado,Fernanda_Melchionna,PSOL,RS,Em_exercício,sim
Fernanda_Pessoa_(UNIAO-CE)_Em_exercício.jpg,Deputado,Fernanda_Pessoa,UNIAO,CE,Em_exercício,sim
Fernando_Coelho_Filho_(UNIAO-PE)_Em_exercício.jpg,Deputado,Fernando_Coelho_Filho,UNIAO,PE,Em_exercício,Não
Fernando_Mineiro_(PT-RN)_Em_exercício.jpg,Deputado,Fernando_Mineiro,PT,RN,Em_exercício,sim
Fernando_Monteiro_(PP-PE)_Em_exercício.jpg,Deputado,Fernando_Monteiro,PP,PE,Em_exercício,Não
Fernando_Rodolfo_(PL-PE)_Em_exercício.jpg,Deputado,Fernando_Rodolfo,PL,PE,Em_exercício,sim
Filipe_Barros_(PL-PR)_Em_exercício.jpg,Deputado,Filipe_Barros,PL,PR,Em_exercício,Não
Filipe_Martins_(PL-TO)_Em_exercício.jpg,Deputado,Filipe_Martins,PL,TO,Em_exercício,Não
Flavinha_(MDB-MT)_Suplente_que_exerceu_mandato.jpg,Deputado,Flavinha,MDB,MT,Suplente_que_exerceu_mandato,Não
Florentino_Neto_(PT-PI)_Em_exercício.jpg,Deputado,Florentino_Neto,PT,PI,Em_exercício,sim
Flávia_Morais_(PDT-GO)_Em_exercício.jpg,Deputado,Flávia_Morais,PDT,GO,Em_exercício,Não
Flávio_Nogueira_(PT-PI)_Em_exercício.jpg,Deputado,Flávio_Nogueira,PT,PI,Em_exercício,sim
Franciane_Bayer_(REPUBLICANOS-RS)_Em_exercício.jpg,Deputado,Franciane_Bayer,REPUBLICANOS,RS,Em_exercício,Não
Fred_Costa_(PRD-MG)_Em_exercício.jpg,Deputado,Fred_Costa,PRD,MG,Em_exercício,Não
Fred_Linhares_(REPUBLICANOS-DF)_Em_exercício.jpg,Deputado,Fred_Linhares,REPUBLICANOS,DF,Em_exercício,Não
Fábio_Henrique_(UNIAO-SE)_Suplente_que_exerceu_mandato.jpg,Deputado,Fábio_Henrique,UNIAO,SE,Suplente_que_exerceu_mandato,Não
Fábio_Macedo_(PODE-MA)_Em_exercício.jpg,Deputado,Fábio_Macedo,PODE,MA,Em_exercício,Não
Fábio_Teruel_(MDB-SP)_Em_exercício.jpg,Deputado,Fábio_Teruel,MDB,SP,Em_exercício,Não
Félix_Mendonça_Júnior_(PDT-BA)_Em_exercício.jpg,Deputado,Félix_Mendonça_Júnior,PDT,BA,Em_exercício,Não
Gabriel_Mota_(REPUBLICANOS-RR)_Em_exercício.jpg,Deputado,Gabriel_Mota,REPUBLICANOS,RR,Em_exercício,Não
Gabriel_Nunes_(PSD-BA)_Em_exercício.jpg,Deputado,Gabriel_Nunes,PSD,BA,Em_exercício,sim
General_Girão_(PL-RN)_Em_exercício.jpg,Deputado,General_Girão,PL,RN,Em_exercício,Não
General_Pazuello_(PL-RJ)_Em_exercício.jpg,Deputado,General_Pazuello,PL,RJ,Em_exercício,Não
Geovania_de_Sá_(PSDB-SC)_Suplente_que_exerceu_mandato.jpg,Deputado,Geovania_de_Sá,PSDB,SC,Suplente_que_exerceu_mandato,Não
Geraldo_Mendes_(UNIAO-PR)_Licenciado.jpg,Deputado,Geraldo_Mendes,UNIAO,PR,Licenciado,Não
Geraldo_Resende_(PSDB-MS)_Em_exercício.jpg,Deputado,Geraldo_Resende,PSDB,MS,Em_exercício,sim
Gerlen_Diniz_(PP-AC)_Em_exercício.jpg,Deputado,Gerlen_Diniz,PP,AC,Em_exercício,sim
Gervásio_Maia_(PSB-PB)_Em_exercício.jpg,Deputado,Gervásio_Maia,PSB,PB,Em_exercício,sim
Giacobo_(PL-PR)_Em_exercício.jpg,Deputado,Giacobo,PL,PR,Em_exercício,Não
Gilberto_Abramo_(REPUBLICANOS-MG)_Em_exercício.jpg,Deputado,Gilberto_Abramo,REPUBLICANOS,MG,Em_exercício,Não
Gilberto_Nascimento_(PSD-SP)_Em_exercício.jpg,Deputado,Gilberto_Nascimento,PSD,SP,Em_exercício,Não
Gilson_Daniel_(PODE-ES)_Em_exercício.jpg,Deputado,Gilson_Daniel,PODE,ES,Em_exercício,Não
Gilson_Marques_(NOVO-SC)_Em_exercício.jpg,Deputado,Gilson_Marques,NOVO,SC,Em_exercício,Não
Gilvan_da_Federal_(PL-ES)_Em_exercício.jpg,Deputado,Gilvan_da_Federal,PL,ES,Em_exercício,Não
Gilvan_Maximo_(REPUBLICANOS-DF)_Em_exercício.jpg,Deputado,Gilvan_Maximo,REPUBLICANOS,DF,Em_exercício,Não
Giovani_Cherini_(PL-RS)_Em_exercício.jpg,Deputado,Giovani_Cherini,PL,RS,Em_exercício,Não
Gisela_Simona_(UNIAO-MT)_Em_exercício.jpg,Deputado,Gisela_Simona,UNIAO,MT,Em_exercício,sim
Glauber_Braga_(PSOL-RJ)_Em_exercício.jpg,Deputado,Glauber_Braga,PSOL,RJ,Em_exercício,sim
Glaustin_da_Fokus_(PODE-GO)_Em_exercício.jpg,Deputado,Glaustin_da_Fokus,PODE,GO,Em_exercício,Não
Gleisi_Hoffmann_(PT-PR)_Em_exercício.jpg,Deputado,Gleisi_Hoffmann,PT,PR,Em_exercício,sim
Gláucia_Santiago_(PL-MG)_Suplente_que_exerceu_mandato.jpg,Deputado,Gláucia_Santiago,PL,MG,Suplente_que_exerceu_mandato,Não
Greyce_Elias_(AVANTE-MG)_Em_exercício.jpg,Deputado,Greyce_Elias,AVANTE,MG,Em_exercício,Não
Guilherme_Boulos_(PSOL-SP)_Em_exercício.jpg,Deputado,Guilherme_Boulos,PSOL,SP,Em_exercício,sim
Guilherme_Derrite_(PL-SP)_Licenciado.jpg,Deputado,Guilherme_Derrite,PL,SP,Licenciado,Não
Guilherme_Uchoa_(PSB-PE)_Em_exercício.jpg,Deputado,Guilherme_Uchoa,PSB,PE,Em_exercício,sim
Gustavo_Gayer_(PL-GO)_Em_exercício.jpg,Deputado,Gustavo_Gayer,PL,GO,Em_exercício,Não
Gustinho_Ribeiro_(REPUBLICANOS-SE)_Em_exercício.jpg,Deputado,Gustinho_Ribeiro,REPUBLICANOS,SE,Em_exercício,sim
Gutemberg_Reis_(MDB-RJ)_Em_exercício.jpg,Deputado,Gutemberg_Reis,MDB,RJ,Em_exercício,Não
Heitor_Schuch_(PSB-RS)_Em_exercício.jpg,Deputado,Heitor_Schuch,PSB,RS,Em_exercício,sim
Helder_Salomão_(PT-ES)_Em_exercício.jpg,Deputado,Helder_Salomão,PT,ES,Em_exercício,sim
Helena_Lima_(MDB-RR)_Em_exercício.jpg,Deputado,Helena_Lima,MDB,RR,Em_exercício,Não
Helio_Lopes_(PL-RJ)_Em_exercício.jpg,Deputado,Helio_Lopes,PL,RJ,Em_exercício,Não
Henderson_Pinto_(MDB-PA)_Em_exercício.jpg,Deputado,Henderson_Pinto,MDB,PA,Em_exercício,sim
Henrique_Júnior_(PL-MA)_Suplente_que_exerceu_mandato.jpg,Deputado,Henrique_Júnior,PL,MA,Suplente_que_exerceu_mandato,Não
Hercílio_Coelho_Diniz_(MDB-MG)_Em_exercício.jpg,Deputado,Hercílio_Coelho_Diniz,MDB,MG,Em_exercício,Não
Hildo_do_Candango_(REPUBLICANOS-GO)_Suplente_que_exerceu_mandato.jpg,Deputado,Hildo_do_Candango,REPUBLICANOS,GO,Suplente_que_exerceu_mandato,Não
Hildo_Rocha_(MDB-MA)_Suplente_que_exerceu_mandato.jpg,Deputado,Hildo_Rocha,MDB,MA,Suplente_que_exerceu_mandato,Não
Hugo_Leal_(PSD-RJ)_Em_exercício.jpg,Deputado,Hugo_Leal,PSD,RJ,Em_exercício,sim
Hugo_Motta_(REPUBLICANOS-PB)_Em_exercício.jpg,Deputado,Hugo_Motta,REPUBLICANOS,PB,Em_exercício,Não
Hélio_Leite_(UNIAO-PA)_Em_exercício.jpg,Deputado,Hélio_Leite,UNIAO,PA,Em_exercício,Não
Icaro_de_Valmir_(PL-SE)_Em_exercício.jpg,Deputado,Icaro_de_Valmir,PL,SE,Em_exercício,sim
Idilvan_Alencar_(PDT-CE)_Em_exercício.jpg,Deputado,Idilvan_Alencar,PDT,CE,Em_exercício,sim
Igor_Timo_(PSD-MG)_Em_exercício.jpg,Deputado,Igor_Timo,PSD,MG,Em_exercício,Não
Ismael_(PSD-SC)_Em_exercício.jpg,Deputado,Ismael,PSD,SC,Em_exercício,Não
Ismael_Alexandrino_(PSD-GO)_Em_exercício.jpg,Deputado,Ismael_Alexandrino,PSD,GO,Em_exercício,Não
Isnaldo_Bulhões_Jr._(MDB-AL)_Em_exercício.jpg,Deputado,Isnaldo_Bulhões_Jr.,MDB,AL,#VALUE!,Não
Ivan_Valente_(PSOL-SP)_Em_exercício.jpg,Deputado,Ivan_Valente,PSOL,SP,Em_exercício,sim
Ivoneide_Caetano_(PT-BA)_Em_exercício.jpg,Deputado,Ivoneide_Caetano,PT,BA,Em_exercício,sim
Iza_Arruda_(MDB-PE)_Em_exercício.jpg,Deputado,Iza_Arruda,MDB,PE,Em_exercício,sim
Jack_Rocha_(PT-ES)_Em_exercício.jpg,Deputado,Jack_Rocha,PT,ES,Em_exercício,sim
Jadyel_Alencar_(REPUBLICANOS-PI)_Em_exercício.jpg,Deputado,Jadyel_Alencar,REPUBLICANOS,PI,Em_exercício,Não
Jandira_Feghali_(PCdoB-RJ)_Em_exercício.jpg,Deputado,Jandira_Feghali,PCdoB,RJ,Em_exercício,sim
Jeferson_Rodrigues_(REPUBLICANOS-GO)_Em_exercício.jpg,Deputado,Jeferson_Rodrigues,REPUBLICANOS,GO,Em_exercício,Não
Jefferson_Campos_(PL-SP)_Em_exercício.jpg,Deputado,Jefferson_Campos,PL,SP,Em_exercício,Não
Jhonatan_de_Jesus_(REPUBLICANOS-RR)_Ex-deputado.jpg,Deputado,Jhonatan_de_Jesus,REPUBLICANOS,RR,Ex-deputado,Não
Jilmar_Tatto_(PT-SP)_Em_exercício.jpg,Deputado,Jilmar_Tatto,PT,SP,Em_exercício,sim
Joaquim_Passarinho_(PL-PA)_Em_exercício.jpg,Deputado,Joaquim_Passarinho,PL,PA,Em_exercício,Não
Jonas_Donizette_(PSB-SP)_Em_exercício.jpg,Deputado,Jonas_Donizette,PSB,SP,Em_exercício,sim
Jones_Moura_(PSD-RJ)_Suplente_que_exerceu_mandato.jpg,Deputado,Jones_Moura,PSD,RJ,Suplente_que_exerceu_mandato,Não
Jorge_Braz_(REPUBLICANOS-RJ)_Em_exercício.jpg,Deputado,Jorge_Braz,REPUBLICANOS,RJ,Em_exercício,Não
Jorge_Goetten_(REPUBLICANOS-SC)_Em_exercício.jpg,Deputado,Jorge_Goetten,REPUBLICANOS,SC,Em_exercício,Não
Jorge_Solla_(PT-BA)_Em_exercício.jpg,Deputado,Jorge_Solla,PT,BA,Em_exercício,sim
Joseildo_Ramos_(PT-BA)_Em_exercício.jpg,Deputado,Joseildo_Ramos,PT,BA,Em_exercício,sim
Josenildo_(PDT-AP)_Em_exercício.jpg,Deputado,Josenildo,PDT,AP,Em_exercício,sim
Josias_Gomes_(PT-BA)_Em_exercício.jpg,Deputado,Josias_Gomes,PT,BA,Em_exercício,sim
Josimar_Maranhãozinho_(PL-MA)_Em_exercício.jpg,Deputado,Josimar_Maranhãozinho,PL,MA,Em_exercício,Não
Josivaldo_JP_(PSD-MA)_Em_exercício.jpg,Deputado,Josivaldo_JP,PSD,MA,Em_exercício,Não
José_Airton_Félix_Cirilo_(PT-CE)_Em_exercício.jpg,Deputado,José_Airton_Félix_Cirilo,PT,CE,Em_exercício,sim
José_Guimarães_(PT-CE)_Em_exercício.jpg,Deputado,José_Guimarães,PT,CE,Em_exercício,sim
José_Medeiros_(PL-MT)_Em_exercício.jpg,Deputado,José_Medeiros,PL,MT,Em_exercício,Não
José_Nelto_(UNIAO-GO)_Em_exercício.jpg,Deputado,José_Nelto,UNIAO,GO,Em_exercício,sim
José_Priante_(MDB-PA)_Em_exercício.jpg,Deputado,José_Priante,MDB,PA,Em_exercício,Não
José_Rocha_(UNIAO-BA)_Em_exercício.jpg,Deputado,José_Rocha,UNIAO,BA,Em_exercício,Não
João_Carlos_Bacelar_(PL-BA)_Em_exercício.jpg,Deputado,João_Carlos_Bacelar,PL,BA,Em_exercício,Não
João_Daniel_(PT-SE)_Em_exercício.jpg,Deputado,João_Daniel,PT,SE,Em_exercício,sim
João_Leão_(PP-BA)_Em_exercício.jpg,Deputado,João_Leão,PP,BA,Em_exercício,Não
João_Maia_(PP-RN)_Em_exercício.jpg,Deputado,João_Maia,PP,RN,Em_exercício,Não
Juarez_Costa_(MDB-MT)_Em_exercício.jpg,Deputado,Juarez_Costa,MDB,MT,Em_exercício,Não
Juliana_Cardoso_(PT-SP)_Em_exercício.jpg,Deputado,Juliana_Cardoso,PT,SP,Em_exercício,sim
Juliana_Kolankiewicz_(MDB-MT)_Suplente_que_exerceu_mandato.jpg,Deputado,Juliana_Kolankiewicz,MDB,MT,Suplente_que_exerceu_mandato,Não
Julia_Zanatta_(PL-SC)_Em_exercício.jpg,Deputado,Julia_Zanatta,PL,SC,Em_exercício,Não
Julio_Arcoverde_(PP-PI)_Em_exercício.jpg,Deputado,Julio_Arcoverde,PP,PI,Em_exercício,Não
Julio_Cesar_Ribeiro_(REPUBLICANOS-DF)_Em_exercício.jpg,Deputado,Julio_Cesar_Ribeiro,REPUBLICANOS,DF,Em_exercício,Não
Julio_Lopes_(PP-RJ)_Em_exercício.jpg,Deputado,Julio_Lopes,PP,RJ,Em_exercício,Não
Juninho_do_Pneu_(UNIAO-RJ)_Em_exercício.jpg,Deputado,Juninho_do_Pneu,UNIAO,RJ,Em_exercício,sim
Junior_Lourenço_(PL-MA)_Em_exercício.jpg,Deputado,Junior_Lourenço,PL,MA,Em_exercício,Não
Junio_Amaral_(PL-MG)_Em_exercício.jpg,Deputado,Junio_Amaral,PL,MG,Em_exercício,Não
Juscelino_Filho_(UNIAO-MA)_Licenciado.jpg,Deputado,Juscelino_Filho,UNIAO,MA,Licenciado,Não
Júlio_Cesar_(PSD-PI)_Em_exercício.jpg,Deputado,Júlio_Cesar,PSD,PI,Em_exercício,Não
Júlio_Oliveira_(PP-TO)_Suplente_que_exerceu_mandato.jpg,Deputado,Júlio_Oliveira,PP,TO,Suplente_que_exerceu_mandato,Não
Júnior_Ferrari_(PSD-PA)_Em_exercício.jpg,Deputado,Júnior_Ferrari,PSD,PA,Em_exercício,sim
Júnior_Mano_(PL-CE)_Licenciado.jpg,Deputado,Júnior_Mano,PL,CE,Licenciado,Não
Keniston_Braga_(MDB-PA)_Em_exercício.jpg,Deputado,Keniston_Braga,MDB,PA,Em_exercício,sim
Kiko_Celeguim_(PT-SP)_Em_exercício.jpg,Deputado,Kiko_Celeguim,PT,SP,Em_exercício,sim
Kim_Kataguiri_(UNIAO-SP)_Em_exercício.jpg,Deputado,Kim_Kataguiri,UNIAO,SP,Em_exercício,Não
Lafayette_de_Andrada_(REPUBLICANOS-MG)_Em_exercício.jpg,Deputado,Lafayette_de_Andrada,REPUBLICANOS,MG,Em_exercício,Não
Laura_Carneiro_(PSD-RJ)_Em_exercício.jpg,Deputado,Laura_Carneiro,PSD,RJ,Em_exercício,sim
Leandre_(PSD-PR)_Licenciado.jpg,Deputado,Leandre,PSD,PR,Licenciado,Não
Lebrão_(UNIAO-RO)_Em_exercício.jpg,Deputado,Lebrão,UNIAO,RO,Em_exercício,Não
Leonardo_Gadelha_(PODE-PB)_Suplente_que_exerceu_mandato.jpg,Deputado,Leonardo_Gadelha,PODE,PB,Suplente_que_exerceu_mandato,Não
Leonardo_Monteiro_(PT-MG)_Em_exercício.jpg,Deputado,Leonardo_Monteiro,PT,MG,Em_exercício,sim
Leo_Prates_(PDT-BA)_Em_exercício.jpg,Deputado,Leo_Prates,PDT,BA,Em_exercício,sim
Leur_Lomanto_Júnior_(UNIAO-BA)_Em_exercício.jpg,Deputado,Leur_Lomanto_Júnior,UNIAO,BA,Em_exercício,sim
Leônidas_Cristino_(PDT-CE)_Suplente_que_exerceu_mandato.jpg,Deputado,Leônidas_Cristino,PDT,CE,Suplente_que_exerceu_mandato,Não
Lincoln_Portela_(PL-MG)_Em_exercício.jpg,Deputado,Lincoln_Portela,PL,MG,Em_exercício,Não
Lindbergh_Farias_(PT-RJ)_Em_exercício.jpg,Deputado,Lindbergh_Farias,PT,RJ,Em_exercício,sim
Loreny_(SOLIDARIEDADE-SP)_Suplente_que_exerceu_mandato.jpg,Deputado,Loreny,SOLIDARIEDADE,SP,Suplente_que_exerceu_mandato,Não
Lucas_Ramos_(PSB-PE)_Em_exercício.jpg,Deputado,Lucas_Ramos,PSB,PE,Em_exercício,sim
Lucas_Redecker_(PSDB-RS)_Em_exercício.jpg,Deputado,Lucas_Redecker,PSDB,RS,Em_exercício,Não
Luciano_Alves_(PSD-PR)_Suplente_que_exerceu_mandato.jpg,Deputado,Luciano_Alves,PSD,PR,Suplente_que_exerceu_mandato,Não
Luciano_Amaral_(PV-AL)_Em_exercício.jpg,Deputado,Luciano_Amaral,PV,AL,Em_exercício,sim
Luciano_Azevedo_(PSD-RS)_Suplente_que_exerceu_mandato.jpg,Deputado,Luciano_Azevedo,PSD,RS,Suplente_que_exerceu_mandato,Não
Luciano_Bivar_(UNIAO-PE)_Em_exercício.jpg,Deputado,Luciano_Bivar,UNIAO,PE,Em_exercício,Não
Luciano_Ducci_(PSB-PR)_Em_exercício.jpg,Deputado,Luciano_Ducci,PSB,PR,Em_exercício,sim
Luciano_Galego_(PL-MA)_Suplente_que_exerceu_mandato.jpg,Deputado,Luciano_Galego,PL,MA,Suplente_que_exerceu_mandato,Não
Luciano_Vieira_(REPUBLICANOS-RJ)_Em_exercício.jpg,Deputado,Luciano_Vieira,REPUBLICANOS,RJ,Em_exercício,sim
Lucio_Mosquini_(MDB-RO)_Em_exercício.jpg,Deputado,Lucio_Mosquini,MDB,RO,Em_exercício,Não
Lucyana_Genésio_(PDT-MA)_Suplente_que_exerceu_mandato.jpg,Deputado,Lucyana_Genésio,PDT,MA,Suplente_que_exerceu_mandato,Não
Luisa_Canziani_(PSD-PR)_Em_exercício.jpg,Deputado,Luisa_Canziani,PSD,PR,Em_exercício,Não
Luis_Carlos_Gomes_(REPUBLICANOS-RJ)_Em_exercício.jpg,Deputado,Luis_Carlos_Gomes,REPUBLICANOS,RJ,Em_exercício,Não
Luis_Tibé_(AVANTE-MG)_Em_exercício.jpg,Deputado,Luis_Tibé,AVANTE,MG,Em_exercício,Não
Luiza_Erundina_(PSOL-SP)_Em_exercício.jpg,Deputado,Luiza_Erundina,PSOL,SP,Em_exercício,sim
Luizianne_Lins_(PT-CE)_Em_exercício.jpg,Deputado,Luizianne_Lins,PT,CE,Em_exercício,sim
Luiz_Antonio_Corrêa_(PP-RJ)_Suplente_que_exerceu_mandato.jpg,Deputado,Luiz_Antonio_Corrêa,PP,RJ,Suplente_que_exerceu_mandato,Não
Luiz_Carlos_Busato_(UNIAO-RS)_Em_exercício.jpg,Deputado,Luiz_Carlos_Busato,UNIAO,RS,Em_exercício,Não
Luiz_Carlos_Hauly_(PODE-PR)_Em_exercício.jpg,Deputado,Luiz_Carlos_Hauly,PODE,PR,Em_exercício,Não
Luiz_Carlos_Motta_(PL-SP)_Em_exercício.jpg,Deputado,Luiz_Carlos_Motta,PL,SP,Em_exercício,sim
Luiz_Couto_(PT-PB)_Em_exercício.jpg,Deputado,Luiz_Couto,PT,PB,Em_exercício,sim
Luiz_Fernando_Faria_(PSD-MG)_Em_exercício.jpg,Deputado,Luiz_Fernando_Faria,PSD,MG,Em_exercício,Não
Luiz_Fernando_Vampiro_(MDB-SC)_Suplente_que_exerceu_mandato.jpg,Deputado,Luiz_Fernando_Vampiro,MDB,SC,Suplente_que_exerceu_mandato,Não
Luiz_Gastão_(PSD-CE)_Em_exercício.jpg,Deputado,Luiz_Gastão,PSD,CE,Em_exercício,Não
Luiz_Lima_(PL-RJ)_Em_exercício.jpg,Deputado,Luiz_Lima,PL,RJ,Em_exercício,Não
Luiz_Marinho_(PT-SP)_Licenciado.jpg,Deputado,Luiz_Marinho,PT,SP,Licenciado,Não
Luiz_Nishimori_(PSD-PR)_Em_exercício.jpg,Deputado,Luiz_Nishimori,PSD,PR,Em_exercício,Não
Luiz_Philippe_de_Orleans_e_Bragança_(PL-SP)_Em_exercício.jpg,Deputado,Luiz_Philippe_de_Orleans_e_Bragança,PL,SP,Em_exercício,Não
Lula_da_Fonte_(PP-PE)_Em_exercício.jpg,Deputado,Lula_da_Fonte,PP,PE,Em_exercício,sim
Lázaro_Botelho_(PP-TO)_Em_exercício.jpg,Deputado,Lázaro_Botelho,PP,TO,Em_exercício,Não
Lêda_Borges_(PSDB-GO)_Em_exercício.jpg,Deputado,Lêda_Borges,PSDB,GO,Em_exercício,Não
Lídice_da_Mata_(PSB-BA)_Em_exercício.jpg,Deputado,Lídice_da_Mata,PSB,BA,Em_exercício,sim
Magda_Mofatto_(PRD-GO)_Em_exercício.jpg,Deputado,Magda_Mofatto,PRD,GO,Em_exercício,Não
Marangoni_(UNIAO-SP)_Em_exercício.jpg,Deputado,Marangoni,UNIAO,SP,Em_exercício,Não
Marcelo_Calero_(PSD-RJ)_Suplente_que_exerceu_mandato.jpg,Deputado,Marcelo_Calero,PSD,RJ,Suplente_que_exerceu_mandato,Não
Marcelo_Crivella_(REPUBLICANOS-RJ)_Em_exercício.jpg,Deputado,Marcelo_Crivella,REPUBLICANOS,RJ,Em_exercício,sim
Marcelo_Lima_(PSB-SP)_Ex-deputado.jpg,Deputado,Marcelo_Lima,PSB,SP,Ex-deputado,Não
Marcelo_Moraes_(PL-RS)_Em_exercício.jpg,Deputado,Marcelo_Moraes,PL,RS,Em_exercício,Não
Marcelo_Queiroz_(PP-RJ)_Em_exercício.jpg,Deputado,Marcelo_Queiroz,PP,RJ,Em_exercício,Não
Marcelo_Álvaro_Antônio_(PL-MG)_Em_exercício.jpg,Deputado,Marcelo_Álvaro_Antônio,PL,MG,Em_exercício,Não
Marcel_van_Hattem_(NOVO-RS)_Em_exercício.jpg,Deputado,Marcel_van_Hattem,NOVO,RS,Em_exercício,Não
Marcio_Alvino_(PL-SP)_Em_exercício.jpg,Deputado,Marcio_Alvino,PL,SP,Em_exercício,Não
Marcon_(PT-RS)_Em_exercício.jpg,Deputado,Marcon,PT,RS,Em_exercício,sim
Marcos_Aurélio_Sampaio_(PSD-PI)_Em_exercício.jpg,Deputado,Marcos_Aurélio_Sampaio,PSD,PI,Em_exercício,Não
Marcos_Pereira_(REPUBLICANOS-SP)_Em_exercício.jpg,Deputado,Marcos_Pereira,REPUBLICANOS,SP,Em_exercício,Não
Marcos_Pollon_(PL-MS)_Em_exercício.jpg,Deputado,Marcos_Pollon,PL,MS,Em_exercício,Não
Marcos_Soares_(UNIAO-RJ)_Em_exercício.jpg,Deputado,Marcos_Soares,UNIAO,RJ,Em_exercício,Não
Marcos_Tavares_(PDT-RJ)_Em_exercício.jpg,Deputado,Marcos_Tavares,PDT,RJ,Em_exercício,sim
Marco_Bertaiolli_(PSD-SP)_Ex-deputado.jpg,Deputado,Marco_Bertaiolli,PSD,SP,Ex-deputado,Não
Marco_Brasil_(PP-PR)_Em_exercício.jpg,Deputado,Marco_Brasil,PP,PR,Em_exercício,Não
Mariana_Carvalho_(REPUBLICANOS-MA)_Suplente_que_exerceu_mandato.jpg,Deputado,Mariana_Carvalho,REPUBLICANOS,MA,Suplente_que_exerceu_mandato,Não
Maria_Arraes_(SOLIDARIEDADE-PE)_Em_exercício.jpg,Deputado,Maria_Arraes,SOLIDARIEDADE,PE,Em_exercício,sim
Maria_do_Rosário_(PT-RS)_Em_exercício.jpg,Deputado,Maria_do_Rosário,PT,RS,Em_exercício,sim
